user_id,review_count,yelping_since,friend_count,fans,elite_count,average_stars,aggregate_compliments,compliment_photos
8ZryN_S-n48g6rsa3W3QtQ,2934,2008-10-27 21:47:03,2197,412,13,3.39,23554,2028
ZMGTBxvz2nfEvZDbXiH_zA,75,2011-04-21 01:43:03,29,8,3,3.66,46,1
UVUIi0q38pAvsfuEEppe0Q,3246,2011-04-08 22:19:26,862,140,11,4.32,933,5
CsLsfpHlHrInwBfJmjR-zg,321,2006-12-05 22:05:19,740,90,4,3.97,2718,48
hkuwpVmoWqmmRNT6ly7eIw,22,2008-07-03 16:37:42,45,3,0,3.81,11,0
kjbUQDXAdUKFXqVgtvLFug,109,2010-09-26 23:25:59,74,13,2,3.96,131,0
yFpmlk4flcdeIx7bAorSHA,164,2008-10-14 16:12:35,476,14,3,4.08,56,3
_8fmsrxFubASqYw_SAxkgA,71,2012-07-12 12:12:02,47,6,0,3.99,26,1
KoqcznJYIXg19nzl286xOw,36,2011-04-05 03:14:06,249,4,0,3.81,9,0
aIFbo8WaP6SCuOFnj_v9kA,514,2007-12-23 04:26:43,184,25,0,3.43,53,0
7Na1pUcEv3oF_QTRwZ-2iw,839,2011-10-23 23:52:25,912,66,2,4.18,529,34
MUzkXfPS9JaMgJ907orz0g,752,2009-01-29 03:48:53,297,90,12,4.16,694,18
JITevzyEgskIJc6sgOyEgw,645,2008-02-11 19:45:49,429,70,14,3.89,678,8
drui1iMt-TPzJiSkQp5CtA,212,2007-08-02 21:41:41,212,35,7,4.15,222,1
KVbMZV-XJPSH9wXEwuXIaA,426,2010-11-25 14:56:03,192,27,0,2.69,431,20
Bnf-KvDhT8WXrpv2WJEOQQ,240,2009-08-08 13:11:32,104,18,3,4.07,95,1
gjhzKWsqCIrpEd9pevbKZw,3199,2005-09-21 16:54:53,4457,1201,17,3.84,12332,284
flj6NjfxqwudsBvOTbrhug,94,2010-03-24 02:00:23,206,2,2,4.01,52,1
cEHn8OkDjjWQYbMKakACwg,11,2012-07-22 00:09:02,4,1,0,4.36,0,0
_W4y7ku6Q0uGoiI3ePtkgQ,322,2006-01-24 23:11:37,118,23,3,3.68,99,3
Js4nQlGRjS1Bd5vsAQQfgA,396,2008-03-31 01:11:13,396,44,9,4.43,520,17
zK-HYsRHsUrbhvWv6pq0Ew,276,2007-09-18 17:56:17,97,16,6,3.49,154,1
yGPSqnzFfrDKkHpadjPy3g,306,2008-09-04 21:34:25,162,24,3,3.83,566,16
eTvp_hYnsrI5-ow_sQ31_g,1028,2010-07-13 15:42:03,592,145,12,4.05,15451,9
1sGYXSkJHPhJ6wQtc-RbZw,820,2009-07-12 01:03:14,938,149,14,3.85,2467,148
Qa2NoSc6DphQArihBgY9Gg,1030,2007-05-28 19:12:41,743,65,2,2.94,1541,5
c11NnfZEkPQg9khQWjtKWg,71,2010-07-14 10:46:19,68,1,0,3.72,19,0
tipQmXdg181T4NvxrXPjFg,183,2011-08-20 23:31:53,3008,83,3,3.52,1352,15
in672plSIGcbOj2q5moYwg,212,2010-09-19 07:20:27,343,39,5,3.88,1006,10
f9M2Q8v_bGqrjbpBO-nrtA,28,2006-08-15 05:34:57,31,4,0,3.97,9,0
2XKlUjHGk9z-2ckFMcBEHw,731,2012-05-06 16:17:55,489,136,11,3.95,645,48
pMltyeuU4SjT6Y8YVy7HBA,1139,2006-06-21 15:41:53,419,58,15,3.92,395,11
by2k9-QcUwRVIvVOeLU2lg,32,2010-11-14 23:04:27,133,4,0,3.34,2,1
M628_58sbDGaViQrxsPuqA,224,2009-08-28 17:39:48,62,12,6,3.48,84,2
Ohhrhu1RkqfVciIVx_W5HQ,303,2006-07-13 19:18:52,50,12,5,3.85,95,1
2YKkLFeOx-0zRcWp0KUv_Q,564,2010-06-07 21:08:02,248,63,12,3.69,1165,6
jIdpjWPfWKneYPGGtKUM_Q,447,2007-12-28 03:44:51,48,21,12,3.71,60,1
y5qEpAfJQaOjjG8ZJWrp6w,333,2007-03-24 15:47:23,92,32,6,4.23,128,1
CQUDh80m48xnzUkx-X5NAw,4216,2008-12-29 21:03:01,5195,579,6,3.91,7527,180
yCyYKXclouR94TnpRLBGRQ,214,2008-10-20 20:07:38,205,13,5,3.82,124,0
M9puGD3VU5FuhE60HklCvg,2400,2006-11-12 23:50:50,3709,487,17,3.22,6374,405
OHbUGOs8hJS95foAhD7xUQ,65,2011-02-06 11:59:39,8,2,0,3.76,12,0
K2VZMLykxnctDXWgO23lJg,358,2010-05-15 03:33:56,544,13,4,3.4,131,1
x6erNzhuM_c7xW6PlqClIQ,742,2007-08-25 02:36:44,197,49,8,3.79,212,4
lf1m4CbheuUR7fFZoLGRvA,1126,2007-11-18 20:40:12,2778,156,15,3.86,1295,21
waY4AzngWdZ9JqYBrUUmew,57,2010-09-07 23:24:36,175,11,2,4.11,949,8
7lKzYA3pZWxpnTFRNpPCFA,49,2011-10-23 19:47:29,2,5,0,3.02,6,0
GG0mFsEXb-02_dzFPqRV1Q,754,2011-08-30 13:46:26,339,57,12,3.46,317,6
y9WhhW724xLQ4p_lGQCQkA,341,2009-05-22 01:32:07,160,38,2,3.36,1089,7
YUFqbfAePA8tgT2zE2y4xQ,191,2008-04-10 02:46:54,257,36,5,3.78,641,17
2botYYVjkOyNXYhzYZUrIQ,358,2007-12-06 16:25:03,327,57,6,4.02,597,7
wKLYI27-HlYoI_KpyaLJjw,89,2009-11-19 17:33:17,158,5,0,4.21,65,1
IPKtxPKLM-PuLHGoT1e7iw,26,2011-05-14 14:11:45,7,2,0,3.89,6,0
xl2zFMHnMfHBXe1TNR6i4g,106,2009-08-14 22:49:48,392,7,0,4.19,8,1
pRfWy61wU9e1nrCVrOEWLA,1543,2008-06-16 01:56:09,158,87,14,3.74,429,16
WWnhqRnWWjutMqh-2SzEuQ,3960,2008-07-09 06:30:28,4613,991,14,4.23,4601,118
NG2mzp-BFKPsgxy5ofaQUw,529,2008-04-15 19:47:40,268,31,2,3.53,144,0
vsikhxSLtMk5APIf9U7C0w,62,2010-07-25 14:26:20,157,3,0,3.77,21,1
ojxS1v-8nUvEEx4DlsPQrA,655,2010-05-18 03:07:02,172,34,12,3.69,108,1
Mpk9Ez93CGqyknA8Qwd9kg,269,2006-05-06 10:54:18,269,19,2,4.05,751,6
ztVQFPr9khc_TjsBny-3rA,414,2009-12-02 18:54:31,9,11,0,3.62,35,1
d1LU2oIXZ3QaU5fZ3Jp2HQ,159,2010-09-12 13:43:49,6,3,0,3.08,7,0
xyad5PXaHTdKrdNClXbMqQ,138,2009-01-28 02:15:26,229,18,0,3.08,107,7
Z6yq2cCc27QmssIFKWMdAA,107,2010-08-08 00:12:07,23,11,1,3.42,54,0
HFECrzYDpgbS5EmTBtj2zQ,5887,2007-03-28 19:08:35,3228,444,15,3.94,19311,346
duymKKwUruH8GwbvcaFd0w,1178,2005-07-24 21:18:34,561,95,4,4.07,511,30
KNkoLCrAUJ56wXJnzhNtiA,147,2007-08-22 22:29:05,187,13,3,3.71,173,1
PBA1rCTmVaI5APfQ1WgbyQ,623,2011-01-02 21:23:12,204,11,10,3.89,90,1
FlXBpK_YZxLo27jcMdII1w,1158,2011-02-21 20:33:35,604,102,12,4.02,724,7
7mzo8uYToyTkdl4kpAsgiQ,109,2011-08-12 00:20:54,265,2,1,3.98,11,1
uUcNCwf86aea7F9AGFBJNQ,143,2010-07-11 14:26:36,7,3,0,2.96,10,0
tAStD3oAe_ob9Za2H7DQ4A,36,2008-07-23 21:53:12,101,3,0,4.0,21,0
lT0jFHCIloX3bnF5eu0ERg,262,2009-09-28 15:42:26,773,44,3,3.96,200,6
3hANLGwpP5tXgHOes2XheA,282,2011-05-16 12:22:50,845,32,5,3.95,221,5
h6RctdQAXQu8drV28iv29g,143,2009-12-19 20:36:22,227,0,0,2.94,12,1
76ew8CgYNfC6NY2deluWsA,31,2008-08-03 21:02:00,422,5,0,4.61,6,0
EiwxlbR8fb68lMgEXhcWKA,3113,2008-11-07 23:53:03,4503,521,15,3.82,5953,132
e9x70wHE9-3FBqm60n4uHQ,30,2010-07-11 02:22:40,260,4,0,4.4,14,0
JiUmz7l4rNz4-YmOj13i9g,808,2007-12-27 18:26:42,376,64,8,3.79,898,27
3tLPT5PzOemSed-ERxwSQg,69,2012-07-27 21:09:11,2833,13,0,4.24,11,0
cMoQqT_j_FD1gO6EEZzOIg,1103,2010-04-03 00:49:35,1042,184,10,4.22,1492,39
8tj9792w3U7lv_XkErMn4A,317,2008-09-19 23:49:24,100,21,4,3.82,108,0
ZIOCmdFaMIF56FR-nWr_2A,3315,2011-01-07 15:20:32,11026,1124,12,3.77,9568,563
qX-ndFKeVen4Z0FQfbHKNw,24,2007-03-24 21:30:11,12,0,0,2.48,8,0
cLpT9ZCzgr7H6BWqDRs2Og,336,2011-01-04 17:42:33,115,20,4,3.92,182,0
Hjfbo7zwpCI5CI5OjkGMqw,301,2011-06-27 22:28:20,65,12,4,4.13,197,1
IyIsFkVY48JWa01inv-7zA,2904,2008-03-27 14:48:51,1997,158,13,3.72,1066,5
AiwVzxg4paqeDX82O4oFLg,264,2012-05-03 23:21:00,69,1,0,4.18,7,1
FyiYuZrIzSkgshdazHZCWw,443,2007-03-28 19:06:08,213,22,2,3.85,190,1
HwMZ0ld2P4V4-kSw-YxjGA,385,2007-10-01 02:13:22,290,29,3,3.66,962,7
u1cvQWB0lB4YsIbtSlUR7g,150,2009-11-03 04:56:21,161,11,5,4.21,88,4
sVr6_v-lwixu3VREOO9XpA,404,2007-06-08 12:12:35,344,53,4,3.76,1180,17
yE5k9M1PIYMyGljYF10R_w,219,2010-03-13 19:52:22,32,10,3,3.96,100,0
2pzrdZiY66lRAlqgnPFtRA,404,2010-03-06 02:36:54,170,19,5,3.7,119,3
Xj4NPAq2efs4mzS4kFHGyQ,522,2007-06-23 00:01:00,288,37,6,3.64,512,7
nBdv5Br4G8pDWXXqSXhUug,230,2009-01-24 19:48:04,175,10,2,3.98,101,0
g0_x4kVvJAYuk96oCcbOmw,455,2009-04-15 12:46:06,189,46,10,3.38,279,8
oH9K7eCuNsYr6MmlM2ZjUg,1465,2007-11-10 19:35:46,610,129,13,3.88,291,10
vScaSrM91Z43ypSR9VfKGg,205,2010-11-04 03:23:05,318,50,7,3.67,201,17
g5qD10shooDJEPjt6miMrw,1141,2007-06-30 21:55:42,602,105,11,3.6,1646,9
CHeMEder5ijEoCPLWjto_Q,222,2011-10-26 20:46:11,83,4,0,3.37,70,5
_BcWyKQL16ndpBdggh2kNA,4274,2008-05-29 12:29:54,3708,558,15,3.69,2247,36
kNARmp_ZMdeh5In-N1dzng,86,2011-03-23 00:35:47,335,4,3,4.05,7,1
cbkk25sZbZZm_YFNZA-x2w,65,2008-06-06 04:38:13,68,36,0,2.46,113,1
SsgDGJWBNvefjY0z8XsVCQ,2349,2009-05-16 15:02:16,730,181,13,4.2,2872,152
cUk4n3GMShdIr5pLyt9PFQ,241,2008-09-24 16:53:58,153,19,5,3.9,134,1
w-w-k-QXosIKQ8HQVwU6IQ,2741,2009-03-13 21:18:34,6109,1021,9,3.24,56433,3804
HZRfI9weev2Vr_w0jPF8-Q,208,2008-03-17 04:28:39,231,16,2,3.47,131,3
WDrVbBxsNZt-0ytEyUAaBg,242,2008-11-03 21:53:07,295,15,5,3.91,50,1
PgzrB25x5JBtiDsMYtLmUA,5,2011-06-24 00:37:24,306,0,0,3.4,0,0
HDiU7ZlOUaNOoflQb1sEtA,87,2006-04-06 20:25:51,4,5,0,3.46,23,1
XVFxHMIRLWiUiHu2I8Zelw,55,2009-10-27 05:30:44,221,1,0,4.11,20,0
soj3EaoFAhGqWgzGlfTTtg,552,2009-01-31 17:33:57,332,29,4,4.33,126,1
90QrD73MiLPjs4mtkmBqQQ,87,2007-06-05 01:17:34,115,11,1,3.99,102,1
4tK3tiB3zggiYudjU9H03g,222,2010-07-12 18:01:52,63,3,0,3.91,16,0
DeDvAzbCIPaXQlor2LctVA,308,2008-07-02 23:35:29,418,51,4,3.84,136,8
upQwDazroow3rjNMW4PZww,193,2011-01-03 18:36:29,14,6,0,3.74,20,0
M5CDadStKmQxLJPTBGBf0Q,488,2011-08-18 02:41:37,578,47,6,4.01,112,17
BAo6ZQsIk9tpHn_Qi260DQ,969,2009-04-23 01:14:15,709,67,13,3.75,340,14
qLdaHR8V5Fcodr2ioytSjg,824,2010-07-18 01:55:01,137,26,8,4.04,213,9
FKgF0La2egQdGl8vzmC5Pg,373,2008-03-15 01:43:00,41,17,3,3.68,79,2
ET3TgSSQ3shm2mj5vZ8IVQ,297,2007-12-26 21:22:36,198,33,6,4.06,480,6
Wxd-EKF2Z4RHZUmwQ6Eeew,1405,2008-02-15 16:05:59,1040,129,8,3.56,872,60
h0Jn9rkacf3tGw5BeZMHWA,185,2009-03-24 22:44:15,249,16,2,3.49,242,2
owQqWfiEnsHGJIcrzDJ_Xw,115,2009-01-15 23:04:14,28,4,0,3.63,27,2
7gjeD8gmi0U8kp5ePFtfeg,17,2008-04-18 15:48:52,5,0,0,3.28,7,0
iZpzJ9k4dDgBjuC27MbjvQ,344,2011-01-05 20:46:28,228,27,5,4.13,772,6
8qIr1_37nsW9QmMNy0sxQA,100,2010-01-27 18:33:01,54,3,2,4.08,16,0
DeqKbAFwcyeC5pvR-SereQ,277,2009-02-19 15:05:19,106,22,8,3.19,162,3
A6hvYV_VP5Kn95rW0pvEgw,245,2010-06-11 18:10:33,594,18,8,4.2,96,1
fQcfRZkcOO-MXFYD5umf2w,1649,2008-03-04 04:19:04,780,90,15,3.38,361,18
gGuAM6Cw1VXJGLssm24ehA,824,2009-03-04 14:41:44,538,99,14,3.27,908,32
gW-UD-NJ03CKXfqJ_E3wRQ,63,2010-04-10 03:28:36,307,11,3,3.99,206,3
1NRn0aekNADEUIl8XRt1MA,233,2007-09-13 05:30:21,202,17,4,3.52,154,0
y3Wtx1pOvTiqsJRkjceXiw,371,2008-12-15 23:29:58,632,89,9,3.39,978,3
o5STsEtfvD1Ig0J7Z-1uxA,2469,2009-06-15 22:35:02,6876,1532,12,4.17,15517,570
HwL0cUMC7-qghiAKBzMpXg,332,2011-02-21 17:24:57,200,26,11,4.02,122,5
cJCiN7dtlGLW2-zApamFQA,231,2009-05-10 23:44:57,54,12,5,3.74,115,2
HuoP7ejN-LSwkO1UIgmtaw,342,2008-04-20 16:55:31,181,29,5,3.86,632,5
i7zuRDllj1KTqoSHUayV_w,233,2008-04-17 02:32:58,237,12,3,3.77,121,1
65uUi6-TEmNcmbH-XvlyGQ,52,2011-01-15 06:13:40,155,3,2,4.35,4,0
IrdhgTUIRAi-cWJL6LDXJA,25,2008-01-23 01:52:43,191,1,0,4.35,2,0
P-cKcxQupYgmdUk0DHZrSQ,294,2012-07-18 15:26:47,198,30,7,3.82,91,3
rTB2UhWGpsLMQo5kCzX39A,753,2010-07-01 16:23:43,131,20,8,3.41,52,1
mbp_UmBlhCeJXAqxoK6foA,286,2009-03-28 19:07:54,527,47,1,3.7,448,10
BDyCY898xb7QexX-XJgrEw,155,2010-01-15 18:50:08,106,20,3,3.85,111,4
IPxJLWpKptzpTWlfjFiuHA,187,2009-03-03 11:40:10,338,25,0,3.05,117,2
ev_mrEIDJauxugj1r8Z3qg,401,2009-08-27 00:37:47,245,28,2,3.7,159,20
Xw7ZjaGfr0WNVt6s_5KZfA,2272,2010-12-22 09:41:56,1257,379,6,4.1,3605,294
s3bGG4IUh-OZ6CgeZsU7Sg,369,2011-08-17 18:42:03,146,43,4,4.25,241,16
CxDOIDnH8gp9KXzpBHJYXw,6679,2009-11-09 20:44:45,610,828,14,3.34,10163,1581
YAIxImxlu3jlSdG91T2Pig,253,2010-12-23 17:26:59,220,13,8,4.22,87,0
pou3BbKsIozfH50rxmnMew,2812,2012-01-11 17:19:55,4024,914,11,4.28,8441,398
eZ8PQPFuR8yfwQOU9IANGw,289,2010-04-08 22:18:52,149,31,3,3.79,264,4
Er_1k4cl0VwKz9tfIn-FBw,508,2010-05-26 17:09:41,493,100,13,4.37,466,39
kS1MQHYwIfD0462PE61IBw,5511,2007-08-25 01:33:28,2003,445,5,3.84,3156,112
TES0PPhg-9jaFj9v28M0cw,212,2007-07-28 22:22:09,139,9,5,3.78,180,0
ZMUXbY64gf4Zbz-zAV0hFw,46,2009-12-31 04:53:24,11,0,0,3.83,3,0
JOe3hGqXl9_fRC2rjyHWrA,119,2011-07-12 19:00:14,92,8,3,3.28,50,1
GJHgbuXmy-Q5eSzkDH5V3w,11,2011-03-25 00:59:48,124,1,0,4.42,2,0
OXlfFHsM15JYh_lvat2w2w,439,2010-11-27 18:24:30,544,185,11,3.89,6150,431
wEE-YMx5pmSuagLtNxMPKA,2000,2007-08-16 13:41:49,8087,1761,14,3.85,18010,691
OKX-V5j_qfuOebeHeWGrHg,2482,2011-06-24 11:24:22,1448,499,12,3.49,466,70
BPZEAoU0sB6CFGusTErUuA,1995,2010-08-22 07:08:32,640,220,8,3.78,3094,716
4P8qDuDy3C8s6Rkm5wEI4Q,149,2008-02-27 01:18:23,136,17,3,3.71,378,6
Lvul3eUBNWbeBtP_ZdLKHw,136,2009-04-04 22:59:10,12,1,1,4.02,10,1
bKPgUIwG8j1RQHGSdMebAg,32,2008-11-03 23:17:28,38,12,0,3.55,42,0
fcN7ko5x6RZ8L9RhUxeUbw,276,2008-11-21 22:43:16,262,14,0,3.01,69,1
EhxRqdUF0uDx3LZkj9CnQQ,34,2010-08-03 01:11:41,234,4,0,4.0,4,0
2bHSZhM0huV8LRh3YHaOSQ,1827,2006-03-08 17:56:29,609,120,7,3.6,2770,33
9NjyPHg3q0TCJzkVc4L0-w,258,2007-12-19 19:56:10,139,18,3,3.95,90,8
Rb1yFgZWNnoTmf9nPAgalw,231,2007-09-25 01:24:38,499,30,3,3.65,265,5
d67zTET_2IuVoWcUU0aWaQ,2241,2008-12-27 19:38:12,1429,217,14,4.04,3714,90
hPYRCiQ_OP0rxkpRN19Xiw,177,2008-06-20 15:11:50,71,19,3,3.25,266,5
Xhdx6LyFdFF_dVabLruhyQ,12,2006-09-14 01:00:46,13,0,0,4.54,0,0
EXXdXcxflkg9moppilHoCA,143,2008-11-27 02:18:26,73,10,2,3.69,151,1
GHzTSlaYKI4Fqc_L63jhmA,64,2009-10-12 15:46:12,18,6,1,3.59,21,1
Reuq65EOFI938Yg8xgff9g,1156,2009-03-05 02:05:16,208,95,11,3.84,870,12
5ITdf0mnklCpIUenv-5LWw,1112,2008-10-15 21:44:18,368,76,10,3.96,1087,8
4kKngcDGjuzo18pxx5jHog,409,2007-06-20 20:27:48,247,41,7,3.85,423,4
0Igx-a1wAstiBDerGxXk2A,2733,2009-01-14 18:31:29,589,200,14,4.06,4935,165
WCN5fiJ34_pWq0cv23I_ag,164,2009-05-21 14:36:59,60,7,5,4.6,121,0
vWn1N7e-H276Z8Rii8_NIA,41,2010-07-17 20:08:13,70,4,1,3.6,6,2
L4CXCKMj2NDsr8fd2_XmkA,597,2006-05-31 22:55:37,588,58,3,3.82,223,9
ncee9pg6GYUJ0SvVF7X3hg,64,2011-02-18 06:20:12,8,1,0,3.74,48,1
LVcbO8YWYz9WjHLBXN6jpQ,237,2006-03-15 21:21:50,327,28,3,3.81,227,3
OZTZgCcxO7fcFkZ3LYDroA,546,2006-08-03 00:51:07,74,13,0,3.13,102,0
7Z3QZnc9CFRH_bPRGN-Oiw,323,2009-07-23 16:00:08,369,55,8,3.42,1550,28
R4QhWtWTnwI6qBZD02WRIA,51,2010-06-25 22:27:54,27,4,0,2.92,3,0
nj3syiLs3lABLtPVyL0ivA,1986,2008-03-05 08:15:58,2229,342,4,3.77,5352,153
vgwdQ0fpDZdoTidJuwYq7w,1316,2005-09-19 22:42:35,161,57,4,3.94,480,10
KzVFANXabLAN2TokOGKJig,231,2007-04-14 15:19:19,77,32,4,3.91,162,5
pILwv96yeZsmUjglRsSuDw,860,2007-04-11 18:49:19,426,71,4,3.79,2177,35
NP-675YVy9URhNmdQdnWsQ,1066,2005-07-28 02:13:01,97,24,9,3.56,126,1
sEEGucq7vg0_yT25miGmsA,50,2010-05-04 04:15:12,623,15,4,4.06,191,0
UXcOSMHZM2RPWTgjQbKDJg,151,2008-11-04 15:38:40,56,14,6,3.4,81,4
EuUt680ZQzJbh1ML0bUPsA,33,2011-09-19 20:05:05,103,6,0,3.76,14,4
k1NEXdF1frI-Ojw5Wz03Vg,522,2007-04-06 01:01:00,139,25,10,3.98,97,0
3MvDSyrKUxoAARc7hUWHGA,36,2010-05-06 21:44:17,5,3,0,3.03,17,0
TYwQtORbORzcX22xdYBx1g,245,2009-09-05 21:20:09,1702,66,3,4.1,181,12
DDcg8gaCLBU7uvh_iGJwAg,66,2009-04-09 13:49:45,111,9,0,3.88,80,0
37HswRimgBEf7_US-c3CDA,2619,2007-02-21 02:31:17,502,223,15,4.0,27303,785
d0xjrf1CL0ollZNK5xewWg,336,2008-11-17 02:26:36,404,39,9,4.18,345,3
V29HZxa2FS06KqsAfrSIHQ,129,2007-06-15 17:13:55,73,13,5,3.63,79,0
XwbnUSJeDscLDGfe4A1x3Q,436,2006-08-13 03:32:13,109,43,6,3.12,160,5
73Z1L0eG-5dyBGTKdfx1RA,243,2011-06-19 01:23:36,127,21,5,3.56,116,4
IKx6LzJa7mPNjlGnqAIXpA,55,2011-05-10 20:29:26,93,7,0,3.53,9,2
6ENDNESowsauGzwPpTTqcQ,84,2008-07-22 05:00:12,15,2,0,3.66,1,0
uVKvHwKWlSHAzpgRF40cRg,58,2008-03-23 05:38:14,384,1,2,4.05,18,0
UlWDGR0QrBbdFsVY6ugocw,885,2010-04-29 14:32:53,4606,713,12,4.24,7862,296
sfp6PhgbQnemfeZTqfuajA,534,2006-10-20 15:21:27,316,67,12,3.87,2685,44
LOi1qbpl2hTP0cwSDDuyBQ,1630,2010-03-20 20:58:04,297,66,13,3.71,466,10
EP8o8JnQSI0WEkeodwA8lA,613,2010-04-09 22:16:16,221,67,7,2.77,1710,29
Or-5choooobXikcd02etTA,332,2007-11-03 01:24:19,174,20,7,3.83,166,2
CJmtS1Uk1KSsY2MWol_E7g,1823,2010-05-02 14:47:55,432,139,13,3.69,213,5
XAlgPQYihaK-r3ZsKNYVcg,390,2008-08-20 05:48:59,772,49,2,3.43,611,7
WZ4vEAuJdBgHrnIZlBQLig,110,2009-10-05 13:23:49,86,8,2,3.88,198,1
rX2ChRbTvsjDbxSCoT_SwA,256,2009-06-10 04:13:31,39,13,4,3.65,147,5
cGr0m1jvZeQbL_RWgAjK-Q,149,2010-10-08 14:20:48,40,7,3,3.85,70,0
rt3MZtOmwB0hohjILz45DQ,388,2008-11-23 02:55:07,688,61,9,4.06,506,15
yLljoL8Uxagzzkg85RvGYQ,73,2011-06-30 22:46:49,170,9,2,3.87,57,3
1Dgjx4glo2Xex9hVwL_DTA,78,2010-08-21 21:15:39,55,8,0,4.03,28,2
-O_FGGkZEeg509iOZADxDw,259,2011-02-26 00:40:21,125,21,0,3.4,44,72
XRodxenm9sHoYbD15Em4nQ,429,2010-07-17 00:32:39,164,37,5,3.99,329,4
kuhYz6erOHGKazHex8_KCQ,138,2009-03-26 18:56:52,38,7,2,3.59,83,0
ofqPlhzx6uLDyFKdtLCUiQ,31,2009-03-04 06:28:56,200,4,0,4.65,9,1
ywf1G9IvDLg_KytwLimFCw,389,2010-03-11 02:19:26,328,18,5,3.62,179,3
qTMK2qr6ngof4fe29qyooA,254,2010-02-28 19:04:59,172,37,3,3.53,1426,19
VVNj3hSE8drWCu8xUXH05Q,192,2011-08-14 20:59:33,298,11,2,4.16,63,1
FVk12H4Cz4DkRzl8N5-PGQ,967,2006-12-21 20:45:38,396,52,16,4.13,476,17
FVndKRU3IidTvAhOtIKlvw,105,2008-08-31 16:03:04,55,15,1,3.79,111,3
FGhx8r2uv167A2eCsVarpw,31,2008-05-19 03:04:40,64,2,0,4.32,3,0
UpueMDfEfFaxfYcUlPCZhw,25,2009-06-08 04:54:43,123,5,0,4.46,7,1
diAY5mwVhMrkku0u2m-xUw,180,2007-07-28 19:07:30,607,3,0,3.29,22,0
KCR6R09YuGp8H4WR-JZY3g,83,2008-01-01 23:28:34,38,0,0,4.02,11,0
MT65fT216MAENAaY-SIV-g,152,2009-01-03 20:15:40,21,6,4,3.28,49,0
snfg5hrEoUVYwkD4IcKeuw,75,2008-12-30 17:20:18,138,8,1,4.17,20,1
Pk5pWlKt7GkDUDtaSYb-NQ,628,2008-02-11 08:40:07,774,112,15,3.59,420,15
rF66aR2Qx8j5YwoLHcA_sw,19,2011-04-23 20:19:26,5,0,0,4.05,2,0
oCgXFRb3v4vO2Q0OVmPBkA,61,2010-04-10 15:35:29,83,5,2,4.09,232,0
KILReHgA6VVdZiedpC5PqA,359,2008-10-14 06:54:12,191,37,13,3.66,417,8
m-n_AHwndmHAgZIsu52kYA,689,2007-12-30 08:55:20,532,65,9,4.04,759,30
